intraday_price,market_cap,price_change,stock_name,volume
,41.094B,,"Twitter, Inc. (TWTR)","75,139,089"
"-0.64, ,(-5.35%)",29.058B,(-5.35%),"Warner Bros. Discovery, Inc. (WBD)","34,500,326"
"0.00, ,(0.00%)",16.678B,(0.00%),Palantir Technologies Inc. (PLTR),"36,219,146"
"-0.17, ,(-1.30%)",59.553B,(-1.30%),Vale S.A. (VALE),"37,834,649"
"-0.16, ,(-1.71%)",3.176B,(-1.71%),"Peloton Interactive, Inc. (PTON)","33,515,277"
"-0.05, ,(-0.28%)",131.332B,(-0.28%),AT&T Inc. (T),"40,510,079"
"+0.91, ,(+0.42%)",1.597T,(+0.42%),Microsoft Corporation (MSFT),"36,633,922"
"+0.17, ,(+0.61%)",113.039B,(+0.61%),Intel Corporation (INTC),"39,678,189"
"+0.38, ,(+2.91%)",85.113B,(+2.91%),Petróleo Brasileiro S.A. - Petrobras (PBR),"49,856,711"
"+1.46, ,(+1.09%)",334.451B,(+1.09%),NVIDIA Corporation (NVDA),"50,006,486"
"+0.61, ,(+0.73%)",1.08T,(+0.73%),Alphabet Inc. (GOOG),"48,510,364"
"+1.04, ,(+2.01%)",7.15B,(+2.01%),"Roku, Inc. (ROKU)","55,794,381"
"0.00, ,(0.00%)",4.286B,(0.00%),"SoFi Technologies, Inc. (SOFI)","55,484,130"
"+0.02, ,(+0.15%)",53.312B,(+0.15%),Ford Motor Company (F),"58,676,149"
"+3.16, ,(+1.47%)",679.895B,(+1.47%),"Tesla, Inc. (TSLA)","56,538,848"
"-0.04, ,(-0.96%)",3.115B,(-0.96%),Transocean Ltd. (RIG),"54,473,441"
"+0.68, ,(+0.76%)",235.749B,(+0.76%),"Meta Platforms, Inc. (META)","60,664,012"
"+0.65, ,(+0.78%)",1.081T,(+0.78%),Alphabet Inc. (GOOGL),"61,288,019"
"+1.10, ,(+11.07%)",17.787B,(+11.07%),NIO Inc. (NIO),"63,954,452"
"+0.79, ,(+1.31%)",97.037B,(+1.31%),"Advanced Micro Devices, Inc. (AMD)","95,279,891"
"+0.17, ,(+2.93%)",6.005B,(+2.93%),"Lumen Technologies, Inc. (LUMN)","62,687,342"
"+0.14, ,(+1.59%)",11.469B,(+1.59%),Carnival Corporation & plc (CCL),"63,359,812"
"+0.25, ,(+1.91%)",23.187B,(+1.91%),Barrick Gold Corporation (GOLD),"58,321,101"
"+0.72, ,(+0.81%)",911.012B,(+0.81%),"Amazon.com, Inc. (AMZN)","136,683,303"
"+0.02, ,(+0.01%)",2.307T,(+0.01%),Apple Inc. (AAPL),"97,918,516"
