intraday_price,market_cap,price_change,stock_name,volume
"-1.14, ,(-0.82%)",2.307T,(-0.82%),Apple Inc. (AAPL),"97,918,516"
"0.00, ,(0.00%)",911.012B,(0.00%),"Amazon.com, Inc. (AMZN)","136,683,303"
"+0.17, ,(+0.62%)",113.039B,(+0.62%),Intel Corporation (INTC),"39,678,189"
"+0.16, ,(+0.19%)",1.08T,(+0.19%),Alphabet Inc. (GOOG),"48,510,364"
"-0.13, ,(-0.15%)",235.749B,(-0.15%),"Meta Platforms, Inc. (META)","60,664,012"
intraday_price,market_cap,price_change,stock_name,volume
60.11,35.95B,(-0.52%),"Block, Inc. (SQ)","43,929,066"
3.2400,51.003B,(-3.70%),Ambev S.A. (ABEV),"42,964,707"
42.74,7.827B,(-0.33%),Twilio Inc. (TWLO),"44,107,418"
3.8400,40.929B,(+1.04%),Banco Bradesco S.A. (BBD),"49,292,382"
40.24,30.75B,(+0.20%),Las Vegas Sands Corp. (LVS),"8,658,559"
9.70,11.763B,(-1.34%),Viatris Inc. (VTRS),"11,510,275"
63.81,43.953B,(0.00%),Johnson Controls International plc (JCI),"6,651,314"
60.99,189.009B,(+0.62%),AstraZeneca PLC (AZN),"5,302,419"
12.30,37.97B,(+0.41%),Energy Transfer LP (ET),"17,887,014"
61.89,78.253B,(+0.02%),Pinduoduo Inc. (PDD),"22,523,788"
139.77,139.77B,(+0.06%),"Salesforce, Inc. (CRM)","13,445,530"
138.38,2.201T,(-0.20%),Apple Inc. (AAPL),"140,814,796"
22.85,9.514B,(+4.90%),Vistra Corp. (VST),"6,452,692"
130.68,383.311B,(-0.10%),JPMorgan Chase & Co. (JPM),"14,351,761"
77.14,17.772B,(-0.36%),Horizon Therapeutics Public Limited Company (HZNP),"5,092,348"
142.21,42.551B,(+0.20%),"Palo Alto Networks, Inc. (PANW)","10,131,596"
36.98,52.373B,(-1.05%),Keurig Dr Pepper Inc. (KDP),"7,834,211"
13.03,6.178B,(0.00%),Elanco Animal Health Incorporated (ELAN),"7,750,626"
19.59,5.309B,(+0.20%),"Macy's, Inc. (M)","7,816,508"
50.42,5.539B,(+0.36%),"Apellis Pharmaceuticals, Inc. (APLS)","7,927,426"
127.56,29.77B,(+1.01%),"CrowdStrike Holdings, Inc. (CRWD)","8,204,064"
84.65,112.513B,(+0.28%),Medtronic plc (MDT),"5,457,179"
13.11,5.422B,(-0.23%),Newell Brands Inc. (NWL),"5,693,117"
97.94,51.603B,(-0.32%),Monster Beverage Corporation (MNST),"6,069,634"
37.22,11.171B,(+0.08%),Antero Resources Corporation (AR),"5,685,384"
285.75,132.845B,(+0.09%),Adobe Inc. (ADBE),"5,738,257"
79.52,20.835B,(-0.62%),"Cardinal Health, Inc. (CAH)","5,260,343"
27.66,7.456B,(-2.39%),"Americold Realty Trust, Inc. (COLD)","5,734,310"
26.30,7.604B,(+1.06%),Magnolia Oil & Gas Corporation (MGY),"7,819,684"
31.97,7.301B,(+0.09%),"Bath & Body Works, Inc. (BBWI)","5,620,001"
30.89,295.871B,,Tencent Holdings Limited (TCEHY),"5,608,811"
34.42,5.929B,(+0.20%),Lincoln National Corporation (LNC),"5,733,083"
38.02,46.572B,(-0.32%),The Kraft Heinz Company (KHC),"5,799,154"
2.6100,2.069B,(0.00%),WeWork Inc. (WE),"5,900,596"
28.25,10.975B,(+0.85%),V.F. Corporation (VFC),"5,902,042"
41.59,59.541B,(-0.53%),Boston Scientific Corporation (BSX),"5,693,512"
40.12,19.893B,(0.00%),"Citizens Financial Group, Inc. (CFG)","5,789,600"
25.89,10.515B,(+1.20%),NiSource Inc. (NI),"5,828,539"
4.4100,2.546B,(-1.13%),BlackBerry Limited (BB),"5,921,633"
12.81,4.942B,(+1.01%),The Western Union Company (WU),"5,928,850"
17.64,4.955B,(+0.06%),"SentinelOne, Inc. (S)","5,788,246"
15.73,7.154B,(-3.37%),Invesco Ltd. (IVZ),"6,003,575"
13.30,18B,(+2.93%),CNH Industrial N.V. (CNHI),"7,753,063"
210.53,75.178B,(-0.34%),The Estée Lauder Companies Inc. (EL),"5,936,000"
6.26,29.255B,(-2.08%),Haleon plc (HLN),"8,088,471"
158.41,60.13B,(+0.21%),"Moderna, Inc. (MRNA)","8,108,538"
68.54,42.376B,(-0.35%),Edwards Lifesciences Corporation (EW),"4,042,687"
63.19,27.325B,(-0.54%),ON Semiconductor Corporation (ON),"8,120,158"
14.62,6.153B,(+0.48%),AngloGold Ashanti Limited (AU),"6,126,564"
31.99,28.26B,(+0.03%),"Rivian Automotive, Inc. (RIVN)","8,159,246"
78.78,167.499B,(0.00%),Bristol-Myers Squibb Company (BMY),"8,016,114"
41.08,15.078B,(+0.49%),EQT Corporation (EQT),"6,024,779"
10.59,5.902B,(+0.57%),Permian Resources Corporation (PR),"8,112,657"
22.44,78.207B,(+0.22%),ICICI Bank Limited (IBN),"8,227,946"
11.16,16.617B,(-1.97%),Amcor plc (AMCR),"8,296,142"
33.84,13.303B,(-0.00%),MGM Resorts International (MGM),"8,346,405"
21.15,40.841B,(-0.52%),Cenovus Energy Inc. (CVE),"8,611,444"
19.24,3.752B,(-0.31%),Bloom Energy Corporation (BE),"6,062,806"
20.94,2.473B,(-2.05%),"IVERIC bio, Inc. (ISEE)","8,556,077"
106.33,11.234B,(+0.72%),"Bill.com Holdings, Inc. (BILL)","8,243,350"
81.07,88.583B,(0.00%),General Electric Company (GE),"6,951,710"
46.25,22.582B,(+0.11%),"The Trade Desk, Inc. (TTD)","8,668,998"
8.09,3.527B,(+0.25%),QuantumScape Corporation (QS),"8,335,751"
70.38,22.271B,(+0.30%),"Datadog, Inc. (DDOG)","8,624,229"
13.35,7.08B,(+1.05%),DISH Network Corporation (DISH),"7,202,013"
91.70,78.89B,(-0.09%),"Applied Materials, Inc. (AMAT)","8,692,669"
2.7500,3.816B,(+1.82%),Companhia Siderúrgica Nacional (SID),"7,295,783"
36.14,49.352B,(+0.17%),Suncor Energy Inc. (SU),"7,190,567"
6.82,3.109B,(+1.47%),Kosmos Energy Ltd. (KOS),"7,310,731"
5.44,3.53B,(-0.55%),TAL Education Group (TAL),"8,427,872"
40.07,22.013B,(-0.42%),eBay Inc. (EBAY),"7,324,212"
29.11,29.153B,(+0.31%),Baker Hughes Company (BKR),"7,314,582"
12.56,4.269B,(+0.24%),"ChargePoint Holdings, Inc. (CHPT)","7,644,727"
